[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 台灣無法大罷工，因人民愚昧自私-[Author]enel1111 (私法制裁者)[Date]Mon Jul  6 22-07-12.txt[reson]time data u'Mon Jul  6 22:07:12' does not match format '%a %b %d %H:%M:%S %Y'
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 台灣的低薪現象還有得救嗎-[Author]freeunixer (離自相空她相)[Date]Mon Jul  6 00-18-10 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 我們是不是被當智能不足了？[Author]sakuyaa (☯☰☱☲☳☴☵☶☷)[Date]Mon Jul  6 14-48-51 2015.txt[reson]'cp950' codec can't encode character u'\u262f' in position 90: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 我到底該不該去醫院掛急診[Author]ISAS (Isas)[Date]Tue Jul  7 08-05-27 2015.txt[reson]unconverted data remains: *
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 撿到正妹室友的內褲該怎麼辦？[Author]ComeThrough (☁)[Date]Mon Jul  6 00-40-58 2015.txt[reson]'cp950' codec can't encode character u'\u2601' in position 95: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 教數學的老師算有身價嗎-[Author]shaichi5566 (鞋志™)[Date]Tue Jul  7 15-58-37 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 95: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 日本進口的冷氣和日本製造的壓縮機很多嗎[Author]DCHC (純愛基本教義派♥)[Date]Sun Jul  5 15-09-05 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 100: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 暑假最值得做的事---[Author]lovechen239 (希望之星總召－乳肥宅♥)[Date]Sat Jul  4 11-30-26 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 102: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 有沒有一成服務費的卦[Author]YU0121 (愛玉冰™)[Date]Sat Jul  4 23-27-24 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 89: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 有沒有今天googleグーグル放鹹蛋超人的卦[Author]chirex (33歲的大魔導士-魯蛇叔)[Date]Tue Jul  7 11-16-11 2015.txt[reson]'cp950' codec can't encode character u'\u30fc' in position 72: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 有沒有古代的肥宅怎麼生活的八卦？[Author]lovechen239 (希望之星總召－乳肥宅♥)[Date]Wed Jul  8 11-08-19 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 107: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 有沒有台南人自我感覺良好的八卦？[Author]JouEriko (城恵理子)[Date]Thu Jul  2 00-26-37 2015.txt[reson]'cp950' codec can't encode character u'\u6075' in position 95: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 有沒有名刀忠吉的八卦[Author]OusakaMegumu (逢坂恵夢)[Date]Mon Jul  6 21-23-16 2015.txt[reson]'cp950' codec can't encode character u'\u5742' in position 93: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 有沒有彩虹大頭照退潮很快的八卦-[Author]chris7 (喉頭一甜（￣￢￣）)[Date]Mon Jul  6 17-57-41 2015.txt[reson]'cp950' codec can't encode character u'\uffe2' in position 98: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 有沒有彩虹趴沒有肥宅的八卦[Author]FrankLP (潮騒のメモリー )[Date]Sun Jul  5 12-14-42 2015.txt[reson]'cp950' codec can't encode character u'\u9a12' in position 91: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 有沒有抗戰七十年，關台灣人屁事的掛？[Author]biofarlos (Pâtissier)[Date]Sat Jul  4 14-36-15 2015.txt[reson]'cp950' codec can't encode character u'\xe2' in position 98: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 有沒有松平忠吉的八卦-[Author]OusakaMegumu (逢坂恵夢)[Date]Mon Jul  6 20-45-24 2015.txt[reson]'cp950' codec can't encode character u'\u5742' in position 94: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 有沒有珮珊跟檢舉姬誰比較有魅力的八卦？[Author]lovechen239 (希望之星總召－乳肥宅♥)[Date]Wed Jul  8 00-51-09 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 110: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 有沒有義美查厰24小時的八卦[Author]gmooshan ()[Date]Sun Jul  5 13-16-28 2015.txt[reson]'cp950' codec can't encode character u'\u53b0' in position 66: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 有沒有蘋果在台灣受歡迎的八卦[Author]victoryss (☞ ☑中间选民 ☑爱歹玩)[Date]Thu Jul  2 09-02-06 2015.txt[reson]'cp950' codec can't encode character u'\u261e' in position 93: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 有沒有談個戀愛就人間蒸發的八卦---[Author]lovechen239 (希望之星總召－乳肥宅♥)[Date]Tue Jul  7 00-28-34 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 109: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 有沒有陶喆現在才被爆出來的八卦？[Author]Brenda0918 ()[Date]Tue Jul  7 23-17-00 2015.txt[reson]'cp950' codec can't encode character u'\u5586' in position 64: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 有沒有雞精的八卦[Author]chris7 (喉頭一甜（￣￢￣）)[Date]Mon Jul  6 01-08-30 2015.txt[reson]'cp950' codec can't encode character u'\uffe2' in position 90: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 沒宗教的科學 和 沒科學的宗教 哪個較慘-[Author]DCHC (純愛基本教義派♥)[Date]Tue Jul  7 12-01-52 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 102: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 為什麼台灣企業主不給好薪水[Author]ja8256 (P.P)[Date]Wed Jul  8 00-56-24 2015.txt[reson]time data u'2015/' does not match format '%Y/%m/%d %H:%M'
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 為什麼沒有PTT48-[Author]lovechen239 (希望之星總召－乳肥宅♥)[Date]Sat Jul  4 23-47-36 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 102: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 爲何台灣買進口車比較貴？[Author]googlemap420 (感謝大大無私分享)[Date]Mon Jul  6 16-27-29 2015.txt[reson]'cp950' codec can't encode character u'\u7232' in position 60: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 爲何台灣買進口車比較貴？[Author]koiopolo2 (K)[Date]Mon Jul  6 16-52-14 2015.txt[reson]'cp950' codec can't encode character u'\u7232' in position 60: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 爸媽那代到底有多單純-[Author]YU0121 (愛玉冰™)[Date]Thu Jul  2 00-04-42 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 90: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 猛將‧麥克阿瑟扭轉韓戰的八卦-[Author]DCHC (純愛基本教義派♥)[Date]Wed Jul  8 08-54-52 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 96: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 發廢文被水桶的人 會憎恨發廢文卻沒被水[Author]lovechen239 (希望之星總召－乳肥宅♥)[Date]Sun Jul  5 14-42-39 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 110: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 碗粿到底好吃在哪-(傻眼)[Author]chris7 (喉頭一甜（￣￢￣）)[Date]Sun Jul  5 22-44-10 2015.txt[reson]'cp950' codec can't encode character u'\uffe2' in position 95: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 邪教團體反對吃肉，反到不擇手段了？[Author]DCHC (純愛基本教義派♥)[Date]Wed Jul  8 09-16-55 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 98: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 雅典奧運是希臘破產的原因之一嗎？[Author]bota (llll)[Date]Mon Jul  6 01-47-05 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 香港VS新加坡  誰比較強阿[Author]TsukimiyaAyu (ㄎㄎㄎㄎㄎㄎㄎㄎㄎㄎㄎ)[Date]Tue Jul  7 21-31-53 2015.txt[reson]time data u'2015/07/07 21:' does not match format '%Y/%m/%d %H:%M'
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 龍妹應該要怎樣才交的到男朋友-[Author]lovechen239 (希望之星總召－乳肥宅♥)[Date]Sat Jul  4 15-57-10 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 106: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 「我會娶妳」小情侶嚐禁果　上大學分手[Author]victoryss (☞ ☑中间选民 ☑爱歹玩)[Date]Tue Jul  7 10-43-45 2015.txt[reson]'cp950' codec can't encode character u'\u261e' in position 97: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 「新北市便宜行事」 塵爆傷者林誼哥要求負責(補fb全文)[Author]onetwo01 ()[Date]Mon Jul  6 18-28-14 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 「防火玉米粉」？　教授打臉：沒知識、英文差[Author]skyyo ( )[Date]Tue Jul  7 20-43-51 2015.txt[reson]time data u'2015/' does not match format '%Y/%m/%d %H:%M'
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 中評關注：走訪洪秀柱出生地！[Author]ios6 (iosꌶ)[Date]Sun Jul  5 22-23-44 2015.txt[reson]'cp950' codec can't encode character u'\ua336' in position 91: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 他去飯店泳池後　就被甲甲附身變同性戀？[Author]Pietro (☞金肅πετροσ)[Date]Thu Jul  2 09-55-33 2015.txt[reson]'cp950' codec can't encode character u'\u261e' in position 95: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 侯友宜怒譙 陳柏廷 你人在哪裡？[Author]FD200 (FD)[Date]Sun Jul  5 11-04-39 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 假志工真僱用 呂忠吉 被爆省錢避責[Author]FranKang (最强の拳)[Date]Sun Jul  5 13-09-16 2015.txt[reson]'cp950' codec can't encode character u'\u5f3a' in position 96: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 假扣押呂忠吉未准 侯友宜：一個都不要跑[Author]AizawaYuuiti (相沢祐一)[Date]Tue Jul  7 19-26-46 2015.txt[reson]'cp950' codec can't encode character u'\u6ca2' in position 102: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 傅崐萁向復航罹難機師致意 願助入忠烈祠[Author]yoyodiy (廢文心得文大師)[Date]Thu Jul  2 11-19-40 2015.txt[reson]'cp950' codec can't encode character u'\u5d10' in position 61: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 卡式台胞證 增身分證字號[Author]ringballer (.)[Date]Thu Jul  2 12-04-22 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 台灣地位未定 外交部：與事實不符[Author]DCHC (純愛基本教義派♥)[Date]Sun Jul  5 14-12-28 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 97: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 地上星光！ 大安森林公園將野放螢火蟲[Author]chris7 (喉頭一甜（￣￢￣）)[Date]Sat Jul  4 15-17-01 2015.txt[reson]'cp950' codec can't encode character u'\uffe2' in position 100: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 女子生理期坐博愛座遭罵 「那妳家的事」[Author]chris7 (喉頭一甜（￣￢￣）)[Date]Mon Jul  6 04-33-18 2015.txt[reson]'cp950' codec can't encode character u'\uffe2' in position 101: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 婚後與楊子晴外遇 陶喆坦承：羞愧 (影音)[Author]ashin1069 (血腥愛情故事)[Date]Tue Jul  7 15-23-45 2015.txt[reson]'cp950' codec can't encode character u'\u5586' in position 70: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 婚後與楊子晴外遇 陶喆坦承：羞愧 (影音)[Author]leavez (XD)[Date]Tue Jul  7 15-14-57 2015.txt[reson]'cp950' codec can't encode character u'\u5586' in position 70: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 嫁台OL懷孕　無人讓座[Author]freeunixer (離自相空她相)[Date]Tue Jul  7 01-30-32 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 嫁台OL懷孕　無人讓座[Author]Hirumi (查你　卭)[Date]Mon Jul  6 23-20-02 2015.txt[reson]'cp950' codec can't encode character u'\u536d' in position 90: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 弟弟八仙重傷 哥哥獲提前退伍[Author]FrankLP (潮騒のメモリー )[Date]Wed Jul  8 13-24-50 2015.txt[reson]'cp950' codec can't encode character u'\u9a12' in position 92: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 慰問金也掀波　警消殉職不如塵爆死者？[Author]victoryss (☞ ☑中间选民 ☑爱歹玩)[Date]Mon Jul  6 11-53-45 2015.txt[reson]'cp950' codec can't encode character u'\u261e' in position 97: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 政黑板主也跳船？ 直批召開「國安會議」[Author]mindming ( )[Date]Tue Jul  7 09-05-36 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 日70女大生下海賣淫　近半數來自名門大[Author]FrankLP (潮騒のメモリー )[Date]Wed Jul  8 09-38-41 2015.txt[reson]'cp950' codec can't encode character u'\u9a12' in position 97: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 曾宇謙國籍被冠中國台北 外交部-會後嚴正[Author]ios6 (iosꌶ)[Date]Sat Jul  4 13-58-10 2015.txt[reson]'cp950' codec can't encode character u'\ua336' in position 97: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 查獲2.5噸黑心食品 義美年菜過期10年[Author]hatenese (遇到   ，嗯)[Date]Sat Jul  4 22-11-34 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 楊子晴譙陶喆「人渣就該曝光」放話：還[Author]GeraldLiu (wolver)[Date]Tue Jul  7 21-34-07 2015.txt[reson]'cp950' codec can't encode character u'\u5586' in position 65: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 楊子晴譙陶喆「人渣就該曝光」放話：還[Author]jenny21529 (饅頭)[Date]Wed Jul  8 00-01-33 2015.txt[reson]'cp950' codec can't encode character u'\u5586' in position 65: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 楊子晴譙陶喆「人渣就該曝光」放話：還[Author]RoroyaZoro (最賤．問天譴)[Date]Mon Jul  6 23-16-27 2015.txt[reson]'cp950' codec can't encode character u'\u5586' in position 65: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 楊子晴譙陶喆「人渣就該曝光」放話：還[Author]T3T (G.S.M.W)[Date]Tue Jul  7 23-49-37 2015.txt[reson]'cp950' codec can't encode character u'\u5586' in position 65: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 楊子晴譙陶喆「人渣就該曝光」放話：還[Author]wavelet (0)[Date]Tue Jul  7 20-44-07 2015.txt[reson]'cp950' codec can't encode character u'\u5586' in position 65: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 洪秀柱：8年抗戰是兩岸共同記憶，有人刻[Author]belmontc (あなたのハートに天誅♥)[Date]Mon Jul  6 00-15-49 2015.txt[reson]'cp950' codec can't encode character u'\u30fc' in position 102: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 皮凱提談希債危機：德國最沒資格說話[Author]DCHC (純愛基本教義派♥)[Date]Tue Jul  7 11-32-47 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 98: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 立院8金釵憶往事 洪秀柱神祕情人送香水[Author]OusakaMegumu (逢坂恵夢)[Date]Wed Jul  8 07-56-30 2015.txt[reson]'cp950' codec can't encode character u'\u5742' in position 102: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 蓮花襲墾丁 暑假遊客：颱風就是要泛舟呀[Author]samhou6 (好人™ ~SAM~)[Date]Mon Jul  6 16-28-16 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 98: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 讓陳菊頭痛的美女議員 定情小12歲基層警[Author]bota (llll)[Date]Sun Jul  5 11-55-11 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 軍區禁帶智慧型手機！10個阿兵哥藏手機、[Author]YU0121 (愛玉冰™)[Date]Tue Jul  7 22-54-32 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 99: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 關切八仙塵爆 總統下午開國安高層會議[Author]diefishfish ((-〞︶〝-) )[Date]Mon Jul  6 12-43-43 2015.txt[reson]time data u'2015/07/06 2' does not match format '%Y/%m/%d %H:%M'
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 關切八仙塵爆 總統下午開國安高層會議[Author]widec (☑30cm)[Date]Mon Jul  6 12-58-04 2015.txt[reson]'cp950' codec can't encode character u'\u2611' in position 93: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 限電問題　蔡英文：最大責任在管理者[Author]ios6 (iosꌶ)[Date]Tue Jul  7 17-23-59 2015.txt[reson]'cp950' codec can't encode character u'\ua336' in position 94: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 陶喆坦承婚後出軌　哽咽「非常羞愧」[Author]ros (螺絲)[Date]Tue Jul  7 15-39-40 2015.txt[reson]'cp950' codec can't encode character u'\u5586' in position 61: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 陶喆坦承婚後出軌　哽咽「非常羞愧」[Author]skylin (自由翱翔)[Date]Tue Jul  7 14-26-52 2015.txt[reson]'cp950' codec can't encode character u'\u5586' in position 61: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 陶喆私密對話完整公開　「你想那個嗎」？[Author]H072 (~Under the heart)[Date]Tue Jul  7 18-22-14 2015.txt[reson]'cp950' codec can't encode character u'\u5586' in position 61: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 陶喆私密對話完整公開　「你想那個嗎」？[Author]tosay (12333)[Date]Tue Jul  7 18-51-42 2015.txt[reson]'cp950' codec can't encode character u'\u5586' in position 61: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 陶喆綠臉再貼劈腿吃未成年 23歲小三狠捅[Author]ea00382 (孔雀與鷲)[Date]Sun Jul  5 09-43-20 2015.txt[reson]'cp950' codec can't encode character u'\u5586' in position 61: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 面試5公司就4家沒勞健保　南市府說會查[Author]akira911 (ビギナー Beginner)[Date]Sun Jul  5 10-25-10 2015.txt[reson]'cp950' codec can't encode character u'\u30fc' in position 100: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞] 香港超小-蚊子公寓- 要1千5百萬台幣[Author]freeunixer (離自相空她相)[Date]Tue Jul  7 23-59-21 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞]八仙塵爆2名往生者 新北各發100萬慰問金[Author]freeunixer (離自相空她相)[Date]Sun Jul  5 01-07-24 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [新聞]嫁來台灣 港女籲移民前三思-仍有文化差異[Author]FrankLP (潮騒のメモリー )[Date]Sun Jul  5 22-56-38 2015.txt[reson]'cp950' codec can't encode character u'\u9a12' in position 97: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [爆卦] 恭喜曾宇謙在柴可夫斯基大賽中殺出重圍！[Author]DarkAlex (毎日感謝の正拳突き1万回)[Date]Thu Jul  2 10-11-53 2015.txt[reson]'cp950' codec can't encode character u'\u6bce' in position 97: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [爆卦] 日本援台 馬卻宣傳抗日 丟臉丟到日本去[Author]atonytom100 (Tonywei)[Date]Mon Jul  6 00-11-22 2015.txt[reson]time data u'2015/' does not match format '%Y/%m/%d %H:%M'
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [爆卦] 日本援台 馬卻宣傳抗日 丟臉丟到日本去[Author]DCHC (純愛基本教義派♥)[Date]Mon Jul  6 12-12-20 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 100: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [生活] 台南市勞工局原來還可以更爛[Author]hatenese (遇到   ，嗯)[Date]Mon Jul  6 21-27-12 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [生活] 台南市勞工局原來還可以更爛[Author]vn509942 (Esperándote)[Date]Wed Jul  8 10-06-15 2015.txt[reson]'cp950' codec can't encode character u'\xe1' in position 96: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [難過] 我今天面試了5個工作[Author]DogCanFly (小狗會飛)[Date]Sat Jul  4 12-24-12 2015.txt[reson]list index out of range
